stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0529_600","Castracani 2","43.8482426921669","10.5234874340976","2@C0529"
"2@C0532_600","Via Pisana Ang.Ferri","43.8415795852514","10.4858079635096","2@C0532"
"2@C0533_600","Via Pisana Civ.467","43.8417689832231","10.4857831208802","2@C0533"
"2@C0534_600","Via Pisana Pastic.Stella","43.8418616164675","10.4886962855334","2@C0534"
"2@C0535_600","Via Pisana Distrib.Fina","43.8420629597512","10.4891366804668","2@C0535"
"2@C0537_600","Sarzanese 8","43.8474676336412","10.4712180583836","2@C0537"
"2@C0538_600","Sarzanese 1","43.8476212823838","10.4715219698839","2@C0538"
"2@C0541_600","Nave 1","43.8516396561759","10.4537203862526","2@C0541"
"2@C0542_600","Nave 2","43.8512154109639","10.454512559267","2@C0542"
"2@C0543_600","Sarzanese 4","43.8490950116001","10.4640344511228","2@C0543"
"2@C0544_600","Sarzanese 5","43.8495017382687","10.4632092869775","2@C0544"
"2@C0547_600","Ponte San Pietro 1","43.8530739569119","10.4467659762205","2@C0547"
"2@C0548_600","Ponte San Pietro 2","43.8540919602228","10.4463628930932","2@C0548"
"2@C0549_600","Via Sarzanese Civ.2205","43.8563840200741","10.4434631807796","2@C0549"
"2@C0550_600","Via Sarzanese Ang.Carignano","43.8564776656971","10.4438900454782","2@C0550"
"2@C0551_600","Via Sarzanese Morelli","43.8568131958385","10.4390610376897","2@C0551"
"2@C0552_600","Via Sarzanese Ang.Gavine","43.8566237629146","10.4394468700608","2@C0552"
"2@C0560_600","Via Pisana Rist.Giorgia","43.8411295980981","10.4620623305933","2@C0560"
"2@C0561_600","Via Ss.Annunziata Civ.695","43.8591108709993","10.530047986512","2@C0561"
"2@C0562_600","Fagnano 1","43.8403995557067","10.4540071579757","2@C0562"
"2@C0563_600","Via Ss.Annunziata Civ.700","43.8592856271812","10.5297724841783","2@C0563"
"2@C0564_600","Ss. Annunziata 1","43.8590351917254","10.5326715569721","2@C0564"
"2@C0565_600","Ss. Annunziata 2","43.8591154286264","10.532395196759","2@C0565"
"2@C0566_600","Via Ss.Anunziata Civ.1260","43.8586501407988","10.5372065250473","2@C0566"
"2@C0567_600","Via Ss.Annunziata Civ.1260","43.8588868920059","10.5370088527145","2@C0567"
"2@C0568_600","Via Ss.Annunziata Ang.Pierone","43.8584244077119","10.5399288583698","2@C0568"
"2@C0569_600","Via Ss.Annunziata Ang.Capannoresi","43.8586188958331","10.5401951694123","2@C0569"
"2@C0570_600","Via Capannoresi Civ.357","43.8617447292432","10.5420784404314","2@C0570"
"2@C0571_600","Via Capannoresi Civ.640","43.8616724227252","10.5417654836915","2@C0571"
"2@C0572_600","Via Capannoresi Ang.Marzi","43.8643327917742","10.5424453862156","2@C0572"
"2@C0573_600","Via Capannoresi Ang.Marzi","43.8642397274573","10.5420027711999","2@C0573"
"2@C0574_600","Via Capannoresi","43.8655079724907","10.542429027901","2@C0574"
"2@C0575_600","Via Capannoresi","43.8654528914716","10.542174050841","2@C0575"
"2@C0576_600","Via Capannoresi C.Te Bernardesco","43.8666142146032","10.5421837752172","2@C0576"
"2@C0577_600","Via Capannoresi Bar Lazzari","43.8667782062538","10.5417073250613","2@C0577"
"2@C0578_600","Via Capannoresi Civ.1196","43.8681477985592","10.5399598802331","2@C0578"
"2@C0579_600","Via Capannoresi","43.8678846280999","10.5401133325477","2@C0579"
"2@C0580_600","Via Capannoresi Ang.Ville","43.8688369535486","10.5385946550496","2@C0580"
"2@C0581_600","Via Capannoresi Ang.Ville","43.8686037388964","10.5385295401584","2@C0581"
"2@C0582_600","Vignola 1","43.8572076344434","10.4349021880516","2@C0582"
"2@C0583_600","Via Del Brennero Rist.Carlos","43.7756371410329","10.4592538454607","2@C0583"
"2@C0584_600","Farneta Sarzanese 1","43.8571666048981","10.4291961841246","2@C0584"
"2@C0585_600","Farneta Sarzanese 2","43.8570499315444","10.4295262409101","2@C0585"
"2@C0586_600","Via Sarzanese C.Te Casetta","43.8573303880691","10.4254548060489","2@C0586"
"2@C0587_600","Via Sarzanese C.Te Casetta","43.8574583777497","10.4249383665297","2@C0587"
"2@C0589_600","Via Sarzanese Bar Micheli","43.8568749997351","10.4190017306905","2@C0589"
"2@C0591_600","Maggiano Chiesa","43.8567021951037","10.4144218297586","2@C0591"
"2@C0595_600","Via Savonarola","43.8313534181845","10.499310277124","2@C0595"
"2@C0596_600","San Cassiano Chiesa 1","43.8698242758663","10.5401586216597","2@C0596"
"2@C0598_600","Vignola 2","43.8573367897555","10.4346548739589","2@C0598"
"2@C0611_600","San Concordio","43.8321483767647","10.4980653436807","2@C0611"
"2@C0617_600","S.Maria Del Giudice Ss12 Km 5,7","43.7839412202931","10.4664277346205","2@C0617"
"2@C0619_600","Immaginetta 1","43.7882904135512","10.4723459470519","2@C0619"
"2@C0620_600","Via Del Brennero Ang.Stefani","43.7908753619641","10.475417236748","2@C0620"
"2@C0623_600","San Lorenzo Vaccoli 1","43.7969338433562","10.4821015423854","2@C0623"
"2@C0626_600","Villa Pastore 1","43.8059626539475","10.4846698159316","2@C0626"
